Id_comuna;Id_comisaria;Nombre_comisaria;DirecciÛn;Fono;;Tipo;;;;;
5302;;TENENCIA CALLE LARGA;CALLE LARGA N∞ 2090;34 - 2 334104;;TENENCIA;;;;;
5303;;TENENCIA RINCONADA;SAN MARTIN N∞ 593;34 - 2 334107;;TENENCIA;;;;;
5304;;TENENCIA SAN ESTEBAN (F);AVENIDA ALESSANDRI N∞ 206;34 - 2 334109;;TENENCIA;;;;;
5401;;RETEN LOS MOLLES;AVENIDA HERMANOS DE LA COSTA N∞ 90;33 - 2 433039;;RETEN;;;;;
5401;;RETEN VALLE HERMOSO;ESMERALDA N∞ 3550;33 - 2 433037;;RETEN;;;;;
5401;;1A. COMISARÕA DE LA LIGUA;DIEGO PORTALES NÔøΩ 333;33 - 2433000;;COMISARIA;;;;;
5402;;TENENCIA CABILDO;HUMERES N∞ 494;33 - 2 433025;;TENENCIA;;;;;
5403;;RETEN PAPUDO;DOMINGO FERNANDEZ CONCHA N∞ 610;33 - 2 433035;;RETEN;;;;;
5404;;RETEN CHINCOLCO;AV. PEDRO MONTT N∞ 1610;33 - 2 433031;;RETEN;;;;;
5404;;TENENCIA PETORCA;SILVA N∞ 695;33 - 2 433022;;TENENCIA;;;;;
5404;;RETEN CASAS DE ALICAHUE;RUTA E-445 KM 33;33 - 2 433027;;RETEN;;;;;
5404;;TENENCIA CARRETERAS PETORCA;RUTA 5 NORTE KM 156;33 - 2 433029;;TENENCIA;;;;;
5405;;RETEN ZAPALLAR;BENITO DEL BILLAR N∞ 124;33 - 2 433034;;RETEN;;;;;
5405;;RETEN CACHAGUA;CACHAGUA N∞ 424;33 - 2 433038;;RETEN;;;;;
5405;;RETEN CATAPILCO;BALMACEDA N∞ 123;33 - 2 433033;;RETEN;;;;;
5501;;4A. COMISARÕA QUILLOTA;CHACABUCO NÔøΩ 481;33 - 2 433064;;COMISARIA;;;;;
5501;;RETEN LAS CRUZADAS;AVENIDA DUE—AS N∞ 110 SAN PEDRO;33 - 2 433088;;RETEN;;;;;
5502;;7A. COMISARÕA DE LA CALERA;CALLE JOSE JOAQUIN PEREZ N 598;33 - 24333090;;COMISARIA;;;;;
5504;;TENENCIA LA CRUZ;AVENIDA 21 DE MAYO N∞ 2040;33 - 2 433086;;TENENCIA;;;;;
5506;;RETEN EL MELON;BERNARDO O'HIGGINS N∞ 24;33 - 2 433123;;RETEN;;;;;
5506;;TENENCIA NOGALES;PEDRO F…LIX VICU—A N∞ 611;33 - 2 433116;;TENENCIA;;;;;
